Path,Class,PropertyName,PropertyType,RealValue,OtherValue,TimeSeriesId,UOM,Description,PropertyOther,LastChange,Version,SourceSystem
"[""FusionDev"",""Companies Consolidated""]",,Greenhouse Gas Production,specification,0,,,,,"{""DisplayDigits"":-5,""ID"":""0c7dc515-723a-4a83-bb87-b3eceb855718"",""IsDataReferenceDefinedByTemplate"":false,""IsDeleted"":false,""IsManualDataEntry"":false,""Step"":true,""SupportedContexts"":4,""SupportedDataMethods"":118502135,""Type"":""Double""}",,cb6e19bd-3fc5-46e0-95ad-26666f4bfcd7,fusion-rockwell
"[""FusionDev"",""Companies Consolidated"",""Power"",""Transportation"",""Connolly Substation"",""SHKA.04.U1.T1""]",,Rated load,specificationString,,,,,,"{""DisplayDigits"":-5,""ID"":""c7fb7cd4-632e-47a8-8b10-773b9cd63426"",""IsDataReferenceDefinedByTemplate"":false,""IsDeleted"":false,""IsManualDataEntry"":false,""Step"":true,""SupportedContexts"":4,""SupportedDataMethods"":118502135,""Type"":""String""}",,cb6e19bd-3fc5-46e0-95ad-26666f4bfcd7,fusion-rockwell
"[""FusionDev"",""Companies Consolidated"",""Power"",""Transportation"",""Connolly Substation"",""SHKA.04.U1.T1""]",,Manufacturer,specificationString,,,,,,"{""DisplayDigits"":-5,""ID"":""2c18f1f1-031e-49c2-9154-9629afdd0feb"",""IsDataReferenceDefinedByTemplate"":false,""IsDeleted"":false,""IsManualDataEntry"":false,""Step"":true,""SupportedContexts"":4,""SupportedDataMethods"":118502135,""Type"":""String""}",,cb6e19bd-3fc5-46e0-95ad-26666f4bfcd7,fusion-rockwell
"[""FusionDev"",""Companies Consolidated"",""Power"",""Transportation"",""Connolly Substation"",""SHKA.04.U1.T1"",""SHKA.04.U1.T1.cooling system""]",,Manufacturer,specificationString,,,,,,"{""DisplayDigits"":-5,""ID"":""26ee50f0-54da-42c0-93a7-ba1fe72e0ea4"",""IsDataReferenceDefinedByTemplate"":false,""IsDeleted"":false,""IsManualDataEntry"":false,""Step"":true,""SupportedContexts"":4,""SupportedDataMethods"":118502135,""Type"":""String""}",,cb6e19bd-3fc5-46e0-95ad-26666f4bfcd7,fusion-rockwell
"[""FusionDev"",""Companies Consolidated"",""Power"",""Transportation"",""Connolly Substation"",""SHKA.04.U1.T1"",""SHKA.04.U1.T1.cooling system""]",,IEEE designation,specificationString,,,,,,"{""DisplayDigits"":-5,""ID"":""5418268a-6acf-446f-8cf0-8041106ae5e6"",""IsDataReferenceDefinedByTemplate"":false,""IsDeleted"":false,""IsManualDataEntry"":false,""Step"":true,""SupportedContexts"":4,""SupportedDataMethods"":118502135,""Type"":""String""}",,cb6e19bd-3fc5-46e0-95ad-26666f4bfcd7,fusion-rockwell
"[""FusionDev"",""Companies Consolidated"",""Power"",""Transportation"",""Connolly Substation"",""SHKA.04.U1.T1"",""SHKA.04.U1.T1.cooling system"",""SHKA.04.U1.T1.cooling system.health monitoring""]",,Manufacturer,specificationString,,,,,,"{""DisplayDigits"":-5,""ID"":""5ca9f14d-6809-4e10-ae55-18fec9857660"",""IsDataReferenceDefinedByTemplate"":false,""IsDeleted"":false,""IsManualDataEntry"":false,""Step"":true,""SupportedContexts"":4,""SupportedDataMethods"":118502135,""Type"":""String""}",,cb6e19bd-3fc5-46e0-95ad-26666f4bfcd7,fusion-rockwell
"[""FusionDev"",""Companies Consolidated"",""Power"",""Transportation"",""Connolly Substation"",""SHKA.04.U1.T1"",""SHKA.04.U1.T1.cooling system"",""SHKA.04.U1.T1.cooling system.health monitoring""]",,health monitoring,specificationString,,,,,,"{""DisplayDigits"":-5,""ID"":""4c6c005a-2496-4fc5-b561-7658468c231b"",""IsDataReferenceDefinedByTemplate"":false,""IsDeleted"":false,""IsManualDataEntry"":false,""Step"":true,""SupportedContexts"":4,""SupportedDataMethods"":118502135,""Type"":""String""}",,cb6e19bd-3fc5-46e0-95ad-26666f4bfcd7,fusion-rockwell
"[""FusionDev"",""Companies Consolidated"",""Power"",""Transportation"",""Connolly Substation"",""SHKA.04.U1.T1"",""SHKA.04.U1.T1.cooling system"",""SHKA.04.U1.T1.cooling system.pump""]",,Power,specificationString,,,,,,"{""DisplayDigits"":-5,""ID"":""1e03cffb-08a2-40b9-9533-ba00ad57f367"",""IsDataReferenceDefinedByTemplate"":false,""IsDeleted"":false,""IsManualDataEntry"":false,""Step"":true,""SupportedContexts"":4,""SupportedDataMethods"":118502135,""Type"":""String""}",,cb6e19bd-3fc5-46e0-95ad-26666f4bfcd7,fusion-rockwell
"[""FusionDev"",""Companies Consolidated"",""Power"",""Transportation"",""Connolly Substation"",""SHKA.04.U1.T1"",""SHKA.04.U1.T1.cooling system"",""SHKA.04.U1.T1.cooling system.pump""]",,Manufacturer,specificationString,,,,,,"{""DisplayDigits"":-5,""ID"":""54d42a80-6b7c-4ae1-b8c6-f5ede3281e3a"",""IsDataReferenceDefinedByTemplate"":false,""IsDeleted"":false,""IsManualDataEntry"":false,""Step"":true,""SupportedContexts"":4,""SupportedDataMethods"":118502135,""Type"":""String""}",,cb6e19bd-3fc5-46e0-95ad-26666f4bfcd7,fusion-rockwell
"[""FusionDev"",""Companies Consolidated"",""Power"",""Transportation"",""Connolly Substation"",""SHKA.04.U1.T1"",""SHKA.04.U1.T1.cooling system"",""SHKA.04.U1.T1.cooling system.pump"",""SHKA.04.U1.T1.cooling system.pump.discharge.temperature""]",,temperature,specification,,,,°C,"Temperature reading, transformer coolant circulation pump discharge","{""ConfigString"":""\\\\fusion-rockwell?7ffcdfc4-cab3-49d3-86ab-857d800568b2\\TT-053"",""DisplayDigits"":-5,""DisplayUOM"":""°C"",""ID"":""826a7be8-3d0d-40e6-90bc-da178f9616da"",""IsDataReferenceDefinedByTemplate"":false,""IsDeleted"":false,""IsManualDataEntry"":false,""Step"":false,""SupportedContexts"":3,""SupportedDataMethods"":225653751,""SourceUOM"":""°C"",""Type"":""Double""}",,cb6e19bd-3fc5-46e0-95ad-26666f4bfcd7,fusion-rockwell
"[""FusionDev"",""Companies Consolidated"",""Power"",""Transportation"",""Connolly Substation"",""SHKA.04.U1.T1"",""SHKA.04.U1.T1.cooling system"",""SHKA.04.U1.T1.cooling system.pump"",""SHKA.04.U1.T1.cooling system.pump.discharge.temperature""]",,Manufacturer,specificationString,,,,,,"{""DisplayDigits"":-5,""ID"":""c49eb19a-d0f9-4de3-8bf1-91f1a7cb8767"",""IsDataReferenceDefinedByTemplate"":false,""IsDeleted"":false,""IsManualDataEntry"":false,""Step"":true,""SupportedContexts"":4,""SupportedDataMethods"":118502135,""Type"":""String""}",,cb6e19bd-3fc5-46e0-95ad-26666f4bfcd7,fusion-rockwell
"[""FusionDev"",""Companies Consolidated"",""Power"",""Transportation"",""Connolly Substation"",""SHKA.04.U1.T1"",""SHKA.04.U1.T1.cooling system"",""SHKA.04.U1.T1.cooling system.pump"",""SHKA.04.U1.T1.cooling system.pump.discharge""]",,Manufacturer,specificationString,,,,,,"{""DisplayDigits"":-5,""ID"":""87f55c9a-0b96-4e22-8502-bcc90063c8c6"",""IsDataReferenceDefinedByTemplate"":false,""IsDeleted"":false,""IsManualDataEntry"":false,""Step"":true,""SupportedContexts"":4,""SupportedDataMethods"":118502135,""Type"":""String""}",,cb6e19bd-3fc5-46e0-95ad-26666f4bfcd7,fusion-rockwell
"[""FusionDev"",""Companies Consolidated"",""Power"",""Transportation"",""Connolly Substation"",""SHKA.04.U1.T1"",""SHKA.04.U1.T1.cooling system"",""SHKA.04.U1.T1.cooling system.pump"",""SHKA.04.U1.T1.cooling system.pump.discharge""]",,Connection,specificationString,,,,,,"{""DisplayDigits"":-5,""ID"":""12af7923-d014-476d-935a-d3d79c232e09"",""IsDataReferenceDefinedByTemplate"":false,""IsDeleted"":false,""IsManualDataEntry"":false,""Step"":true,""SupportedContexts"":4,""SupportedDataMethods"":118502135,""Type"":""String""}",,cb6e19bd-3fc5-46e0-95ad-26666f4bfcd7,fusion-rockwell
"[""FusionDev"",""Companies Consolidated"",""Power"",""Transportation"",""Connolly Substation"",""SHKA.04.U1.T1"",""SHKA.04.U1.T1.cooling system"",""SHKA.04.U1.T1.cooling system.pump"",""SHKA.04.U1.T1.cooling system.pump.discharge"",""SHKA.04.U1.T1.cooling system.pump.discharge.pressure""]",,pressure,specification,,,,bar,"Pressure reading, transformer coolant circulation pump discharge","{""ConfigString"":""\\\\fusion-rockwell?7ffcdfc4-cab3-49d3-86ab-857d800568b2\\U1_T_001_CS_PT_001"",""DisplayDigits"":-5,""DisplayUOM"":""bar"",""ID"":""3f5a7510-fd5e-4a66-8a5a-dd5a307c82fb"",""IsDataReferenceDefinedByTemplate"":false,""IsDeleted"":false,""IsManualDataEntry"":false,""Step"":false,""SupportedContexts"":3,""SupportedDataMethods"":225653751,""SourceUOM"":""bar"",""Type"":""Double""}",,cb6e19bd-3fc5-46e0-95ad-26666f4bfcd7,fusion-rockwell
"[""FusionDev"",""Companies Consolidated"",""Power"",""Transportation"",""Connolly Substation"",""SHKA.04.U1.T1"",""SHKA.04.U1.T1.cooling system"",""SHKA.04.U1.T1.cooling system.pump"",""SHKA.04.U1.T1.cooling system.pump.driver.terminal""]",,terminal,specificationString,,,,,,"{""DisplayDigits"":-5,""ID"":""53bc2c92-23c3-4980-8af7-d15caf73c9bd"",""IsDataReferenceDefinedByTemplate"":false,""IsDeleted"":false,""IsManualDataEntry"":false,""Step"":true,""SupportedContexts"":4,""SupportedDataMethods"":118502135,""Type"":""String""}",,cb6e19bd-3fc5-46e0-95ad-26666f4bfcd7,fusion-rockwell
"[""FusionDev"",""Companies Consolidated"",""Power"",""Transportation"",""Connolly Substation"",""SHKA.04.U1.T1"",""SHKA.04.U1.T1.cooling system"",""SHKA.04.U1.T1.cooling system.pump"",""SHKA.04.U1.T1.cooling system.pump.suction""]",,Connection,specificationString,,,,,,"{""DisplayDigits"":-5,""ID"":""56e21ee7-3629-410d-86ab-0406b2c22274"",""IsDataReferenceDefinedByTemplate"":false,""IsDeleted"":false,""IsManualDataEntry"":false,""Step"":true,""SupportedContexts"":4,""SupportedDataMethods"":118502135,""Type"":""String""}",,cb6e19bd-3fc5-46e0-95ad-26666f4bfcd7,fusion-rockwell
"[""FusionDev"",""Companies Consolidated"",""Power"",""Transportation"",""Connolly Substation"",""SHKA.04.U1.T1"",""SHKA.04.U1.T1.cooling system"",""SHKA.04.U1.T1.cooling system.pump"",""SHKA.04.U1.T1.cooling system.pump.driver.terminal.state""]",,indicator,specificationString,,,,,,"{""DisplayDigits"":-5,""ID"":""52d889f7-eca3-4f19-aabf-f73f7fd763bd"",""IsDataReferenceDefinedByTemplate"":false,""IsDeleted"":false,""IsManualDataEntry"":false,""Step"":true,""SupportedContexts"":4,""SupportedDataMethods"":118502135,""Type"":""String""}",,cb6e19bd-3fc5-46e0-95ad-26666f4bfcd7,fusion-rockwell
"[""FusionDev"",""Companies Consolidated"",""Power"",""Transportation"",""Connolly Substation"",""SHKA.04.U1.T1"",""SHKA.04.U1.T1.enclosure""]",,Regulatory classification,specificationString,,,,,,"{""DisplayDigits"":-5,""ID"":""b444c84f-0235-4b96-bd1e-582b1671f7ce"",""IsDataReferenceDefinedByTemplate"":false,""IsDeleted"":false,""IsManualDataEntry"":false,""Step"":true,""SupportedContexts"":4,""SupportedDataMethods"":118502135,""Type"":""String""}",,cb6e19bd-3fc5-46e0-95ad-26666f4bfcd7,fusion-rockwell
"[""FusionDev"",""Companies Consolidated"",""Power"",""Transportation"",""Connolly Substation"",""SHKA.04.U1.T1"",""SHKA.04.U1.T1.enclosure""]",,Manufacturer,specificationString,,,,,,"{""DisplayDigits"":-5,""ID"":""d51004eb-1633-4d3d-9bc3-f3cb958de563"",""IsDataReferenceDefinedByTemplate"":false,""IsDeleted"":false,""IsManualDataEntry"":false,""Step"":true,""SupportedContexts"":4,""SupportedDataMethods"":118502135,""Type"":""String""}",,cb6e19bd-3fc5-46e0-95ad-26666f4bfcd7,fusion-rockwell
"[""FusionDev"",""Companies Consolidated"",""Power"",""Transportation"",""Connolly Substation"",""SHKA.04.U1.T1"",""SHKA.04.U1.T1.enclosure""]",,enclosure,specificationString,,,,,,"{""DisplayDigits"":-5,""ID"":""431ee240-da30-49ef-934f-b66e7576646b"",""IsDataReferenceDefinedByTemplate"":false,""IsDeleted"":false,""IsManualDataEntry"":false,""Step"":true,""SupportedContexts"":4,""SupportedDataMethods"":118502135,""Type"":""String""}",,cb6e19bd-3fc5-46e0-95ad-26666f4bfcd7,fusion-rockwell
"[""FusionDev"",""Companies Consolidated"",""Power"",""Transportation"",""Connolly Substation"",""SHKA.04.U1.T1"",""SHKA.04.U1.T1.enclosure"",""SHKA.04.U1.T1.enclosure.transducer""]",,blanket gas pressure,specification,,,,bar,Pressure of blanket gas in terminal enclosure,"{""ConfigString"":""\\\\fusion-rockwell?7ffcdfc4-cab3-49d3-86ab-857d800568b2\\GI-055"",""DisplayDigits"":-5,""DisplayUOM"":""bar"",""ID"":""807e16c6-ba35-455f-b9e5-bf40fa94a036"",""IsDataReferenceDefinedByTemplate"":false,""IsDeleted"":false,""IsManualDataEntry"":false,""Step"":false,""SupportedContexts"":3,""SupportedDataMethods"":225653751,""SourceUOM"":""bar"",""Type"":""Double""}",,cb6e19bd-3fc5-46e0-95ad-26666f4bfcd7,fusion-rockwell
"[""FusionDev"",""Companies Consolidated"",""Power"",""Transportation"",""Connolly Substation"",""SHKA.04.U1.T1"",""SHKA.04.U1.T1.fluid inlet""]",,Type,specificationString,,,,,,"{""DisplayDigits"":-5,""ID"":""5176e825-7bc6-4bb9-88cf-626128b0d56a"",""IsDataReferenceDefinedByTemplate"":false,""IsDeleted"":false,""IsManualDataEntry"":false,""Step"":true,""SupportedContexts"":4,""SupportedDataMethods"":118502135,""Type"":""String""}",,cb6e19bd-3fc5-46e0-95ad-26666f4bfcd7,fusion-rockwell
"[""FusionDev"",""Companies Consolidated"",""Power"",""Transportation"",""Connolly Substation"",""SHKA.04.U1.T1"",""SHKA.04.U1.T1.fluid inlet""]",,fluid inlet,specificationString,,,,,,"{""DisplayDigits"":-5,""ID"":""433ac783-f0af-43d4-ace3-b3c687e980a2"",""IsDataReferenceDefinedByTemplate"":false,""IsDeleted"":false,""IsManualDataEntry"":false,""Step"":true,""SupportedContexts"":4,""SupportedDataMethods"":118502135,""Type"":""String""}",,cb6e19bd-3fc5-46e0-95ad-26666f4bfcd7,fusion-rockwell
"[""FusionDev"",""Companies Consolidated"",""Power"",""Transportation"",""Connolly Substation"",""SHKA.04.U1.T1"",""SHKA.04.U1.T1.fluid inlet""]",,Diameter,specificationString,,,,,,"{""DisplayDigits"":-5,""ID"":""6b5ba187-0fcd-499f-a600-b67777184e6c"",""IsDataReferenceDefinedByTemplate"":false,""IsDeleted"":false,""IsManualDataEntry"":false,""Step"":true,""SupportedContexts"":4,""SupportedDataMethods"":118502135,""Type"":""String""}",,cb6e19bd-3fc5-46e0-95ad-26666f4bfcd7,fusion-rockwell
"[""FusionDev"",""Companies Consolidated"",""Power"",""Transportation"",""Connolly Substation"",""SHKA.04.U1.T1"",""SHKA.04.U1.T1.tank.level""]",,level,specificationString,,,,,Visual level reading on the transformer coolant,"{""ConfigString"":""\\\\fusion-rockwell?7ffcdfc4-cab3-49d3-86ab-857d800568b2\\T1-OR-23548574"",""DisplayDigits"":-5,""ID"":""ca925e6a-987b-47e9-8204-0c8d226b8806"",""IsDataReferenceDefinedByTemplate"":false,""IsDeleted"":false,""IsManualDataEntry"":false,""Step"":false,""SupportedContexts"":3,""SupportedDataMethods"":225653751,""Type"":""String""}",,cb6e19bd-3fc5-46e0-95ad-26666f4bfcd7,fusion-rockwell
"[""FusionDev"",""Companies Consolidated"",""Power"",""Transportation"",""Connolly Substation"",""SHKA.04.U1.T1"",""SHKA.04.U1.T1.tank.level""]",,Manufacturer,specificationString,,,,,,"{""DisplayDigits"":-5,""ID"":""dd1c1e5d-f18c-4501-bcb7-02d7037bf51f"",""IsDataReferenceDefinedByTemplate"":false,""IsDeleted"":false,""IsManualDataEntry"":false,""Step"":true,""SupportedContexts"":4,""SupportedDataMethods"":118502135,""Type"":""String""}",,cb6e19bd-3fc5-46e0-95ad-26666f4bfcd7,fusion-rockwell
